Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,3399.830078,3399.830078,3329.129883,3399.830078,3399.830078,0
2019-12-04,3379.260010,3379.260010,3327.479980,3379.260010,3379.260010,0
2019-12-05,3355.040039,3355.040039,3323.590088,3355.040039,3355.040039,0
2019-12-06,3354.090088,3360.639893,3323.590088,3354.090088,3354.090088,0
2019-12-09,3360.639893,3365.530029,3318.250000,3360.639893,3360.639893,0
2019-12-10,3362.919922,3362.919922,3314.290039,3362.919922,3362.919922,0
2019-12-11,3365.899902,3366.560059,3314.290039,3365.899902,3365.899902,0
2019-12-12,3371.540039,3371.540039,3320.280029,3371.540039,3371.540039,0
2019-12-13,3364.649902,3364.649902,3322.110107,3364.649902,3364.649902,0
2019-12-16,3361.760010,3364.959961,3331.399902,3361.760010,3361.760010,0
2019-12-17,3379.909912,3379.909912,3327.429932,3379.909912,3379.909912,0
2019-12-18,3371.979980,3371.979980,3326.870117,3371.979980,3371.979980,0
2019-12-19,3371.120117,3371.120117,3326.469971,3371.120117,3371.120117,0
2019-12-20,3373.979980,3384.629883,3326.149902,3373.979980,3373.979980,0
2019-12-23,3366.129883,3366.129883,3321.639893,3366.129883,3366.129883,0
2019-12-24,3372.330078,3372.330078,3321.639893,3372.330078,3372.330078,0
2019-12-25,3378.379883,3378.379883,3326.459961,3378.379883,3378.379883,0
2019-12-26,3326.459961,3378.379883,3326.459961,3326.459961,3326.459961,0
2019-12-27,3381.219971,3381.219971,3326.459961,3381.219971,3381.219971,0
2019-12-30,3388.899902,3392.810059,3329.780029,3388.899902,3388.899902,0
2019-12-31,3393.239990,3395.530029,3340.790039,3393.239990,3393.239990,0
2020-01-01,3343.729980,3343.729980,3343.729980,3343.729980,3343.729980,0
2020-01-02,3343.729980,3405.659912,3343.729980,3343.729980,3343.729980,0
2020-01-03,3392.540039,3410.360107,3344.340088,3392.540039,3392.540039,0
2020-01-06,3405.979980,3405.979980,3344.340088,3405.979980,3405.979980,0
2020-01-07,3382.050049,3382.050049,3339.689941,3382.050049,3382.050049,0
2020-01-08,3377.979980,3387.449951,3336.770020,3377.979980,3377.979980,0
2020-01-09,3381.320068,3397.320068,3335.260010,3381.320068,3381.320068,0
2020-01-10,3381.469971,3396.649902,3325.209961,3381.469971,3381.469971,0
2020-01-13,3325.209961,3325.209961,3313.520020,3325.209961,3325.209961,0
2020-01-14,3368.310059,3368.310059,3304.300049,3368.310059,3368.310059,0
2020-01-15,3353.620117,3353.620117,3302.360107,3353.620117,3353.620117,0
2020-01-16,3354.100098,3360.750000,3302.360107,3354.100098,3354.100098,0
2020-01-17,3344.870117,3344.870117,3303.560059,3344.870117,3344.870117,0
2020-01-20,3312.879883,3312.879883,3306.239990,3312.879883,3312.879883,0
2020-01-21,3306.239990,3354.340088,3303.580078,3306.239990,3306.239990,0
2020-01-22,3347.929932,3361.389893,3303.580078,3347.929932,3347.929932,0
2020-01-23,3356.939941,3356.939941,3298.770020,3356.939941,3356.939941,0
2020-01-24,3333.919922,3372.520020,3290.010010,3333.919922,3333.919922,0
2020-01-27,3372.520020,3372.520020,3248.479980,3372.520020,3372.520020,0
2020-01-28,3248.479980,3295.120117,3248.479980,3248.479980,3248.479980,0
2020-01-29,3332.590088,3337.050049,3286.110107,3332.590088,3332.590088,0
2020-01-30,3340.389893,3340.389893,3286.790039,3340.389893,3340.389893,0
2020-01-31,3339.620117,3339.620117,3281.239990,3339.620117,3339.620117,0
2020-02-03,3343.949951,3343.949951,3281.239990,3343.949951,3343.949951,0
2020-02-04,3289.459961,3328.270020,3284.310059,3289.459961,3289.459961,0
2020-02-05,3330.250000,3335.169922,3270.870117,3330.250000,3330.250000,0
2020-02-06,3313.350098,3313.350098,3253.100098,3313.350098,3313.350098,0
2020-02-07,3253.100098,3302.449951,3253.100098,3253.100098,3253.100098,0
2020-02-10,3302.449951,3302.449951,3251.760010,3302.449951,3302.449951,0
2020-02-11,3290.169922,3290.169922,3251.760010,3290.169922,3290.169922,0
2020-02-12,3305.479980,3305.479980,3252.120117,3305.479980,3305.479980,0
2020-02-13,3252.120117,3252.120117,3251.629883,3252.120117,3252.120117,0
2020-02-14,3297.310059,3297.310059,3251.629883,3297.310059,3297.310059,0
2020-02-17,3302.719971,3302.719971,3242.550049,3302.719971,3302.719971,0
2020-02-18,3292.159912,3292.159912,3238.850098,3292.159912,3292.159912,0
2020-02-19,3279.139893,3281.689941,3236.729980,3279.139893,3279.139893,0
2020-02-20,3287.030029,3287.030029,3225.669922,3287.030029,3287.030029,0
2020-02-21,3273.110107,3273.110107,3225.669922,3273.110107,3273.110107,0
2020-02-24,3296.840088,3296.840088,3231.000000,3296.840088,3296.840088,0
2020-02-25,3292.959961,3292.959961,3228.290039,3292.959961,3292.959961,0
2020-02-26,3284.810059,3284.810059,3228.290039,3284.810059,3284.810059,0
2020-02-27,3297.310059,3297.310059,3247.239990,3297.310059,3297.310059,0
2020-02-28,3342.949951,3353.070068,3283.030029,3342.949951,3342.949951,0
2020-03-02,3323.909912,3353.070068,3323.909912,3323.909912,3323.909912,0
2020-03-03,340.756012,3345.899902,340.748993,340.756012,340.756012,0
2020-03-04,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-05,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-06,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-09,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-10,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-11,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-12,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
